AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
1245256,CRLF1,deepseek-chat,Benign,Uncertain significance,0.7,PM2;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.62,
46864,PSEN1,deepseek-chat,Pathogenic,Pathogenic,0.95,PS1;PM2;PP3;PP5,"Campion D, et al. Am J Hum Genet, 1995;Rogaeva E, et al. Neurology, 2001;Larner AJ, et al. J Neurol Neurosurg Psychiatry, 2007;Alzforum mutations database",,2.9,
1245256,CRLF1,deepseek-coder,Benign,Uncertain significance,0.7,PM2;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.93,
46864,PSEN1,deepseek-coder,Pathogenic,Pathogenic,0.95,PS1;PM2;PP3;PP5,"Rogaeva E, et al. Neurology, 2001;Larner AJ, et al. J Neurol Neurosurg Psychiatry, 2007;Cruts M, et al. Hum Mutat, 2012",,2.97,
1595058,STAG2,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP7,"Richards S, et al. Genet Med. 2015;17(5):405-424",,2.08,
1595058,STAG2,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Genet Med. 2015;17(5):405-424.",,1.98,
544321,BCKDHB,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2_supporting,"Chuang DT, et al. Maple syrup urine disease. In: GeneReviews, 2019.;Strauss KA, et al. Maple syrup urine disease. In: GeneReviews, 2020.",,2.18,
544321,BCKDHB,deepseek-coder,Pathogenic,Pathogenic,0.95,PVS1;PM2;PVS1_Strong,"Chuang DT, et al. Maple syrup urine disease. In: GeneReviews, 2020.;Strauss KA, et al. Maple syrup urine disease. In: The Online Metabolic and Molecular Bases of Inherited Disease, 2020.",,2.67,
1523421,ILK,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,1.96,
4931682,WAC,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Van Maldergem et al., Am J Hum Genet, 2010;Tan et al., Am J Hum Genet, 2010",,1.98,
1523421,ILK,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.25,
4931682,WAC,deepseek-coder,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Tan et al., Am J Hum Genet, 2013;DeLuca et al., Am J Hum Genet, 2016",,2.34,
4975120,CTNNA1,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2;PVS1_Strong,"Hansford S, et al. Hereditary Diffuse Gastric Cancer Syndrome: CDH1 Mutations and Beyond. JAMA Oncol. 2015;1(1):23-32.;Clark DF, et al. CTNNA1 and hereditary cancer syndromes. Hum Mutat. 2020;41(9):1531-1542.",,2.76,
1196263,DRP2,deepseek-chat,Benign,Uncertain significance,0.6,PM2;PVS1_moderate,"Gonzaga-Jauregui et al., Am J Hum Genet, 2015;Kopanos et al., Bioinformatics, 2019",,2.8,
4975120,CTNNA1,deepseek-coder,Pathogenic,Pathogenic,0.95,PVS1;PM2;PVS1_Strength,"Hansford S, et al. Hereditary Diffuse Gastric Cancer Syndrome: CDH1 Mutations and Beyond. JAMA Oncol. 2015;1(1):23-32.;van der Post RS, et al. Hereditary diffuse gastric cancer: updated clinical guidelines with an emphasis on germline CDH1 mutation carriers. J Med Genet. 2015;52(6):361-374.",,2.93,
1196263,DRP2,deepseek-coder,Benign,Uncertain significance,0.6,PM2;PVS1_Moderate,"Richards et al., Genet Med, 2015",,2.32,
1153278,NAXE,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.1,
