AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
1245256,CRLF1,deepseek-chat,Benign,Benign,0.99,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015.",,2.76,
1245256,CRLF1,deepseek-coder,Benign,Benign,0.99,BA1;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.88,
46864,PSEN1,deepseek-chat,Pathogenic,Pathogenic,0.95,PS1;PM2;PP3;PP5,"Rogaev EI, et al. Neurology, 1995;Cruts M, et al. Hum Mutat, 1998;Larner AJ, et al. J Neurol Neurosurg Psychiatry, 2007",,3.28,
46864,PSEN1,deepseek-coder,Pathogenic,Pathogenic,0.95,PS1;PM2;PM5;PP3;PP5,"Sherrington R, et al. Nature, 1995;Cruts M, et al. Hum Mutat, 1998;Rogaeva E, et al. Neurology, 2001",,3.41,
1595058,STAG2,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BS1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.78,
1245256,CRLF1,kimi-k2.6,Benign,Benign,0.95,BA1,"Richards S, et al., Genet Med, 2015; ACMG/AMP Sequence Variant Interpretation Guidelines",,5.95,
46864,PSEN1,kimi-k2.6,Pathogenic,Pathogenic,0.85,PS1;PM2;PP2;PP3,"Rogaev et al., Nature, 1995; Sherrington et al., Nature, 1995; Cruts et al., Human Mutation, 2012",,5.95,
1595058,STAG2,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BS1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,3.32,
1523421,ILK,deepseek-chat,Benign,Uncertain significance,0.6,PM2,"Richards S, et al. Genet Med. 2015;17(5):405-424",,2.47,
1595058,STAG2,kimi-k2.6,Benign,Uncertain significance,0.3,BS1,"Richards S, Genet Med, 2015;Oza V, Hum Mutat, 2018",,5.69,
1523421,ILK,deepseek-coder,Benign,Uncertain significance,0.6,PM2;BS1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.65,
1523421,ILK,kimi-k2.6,Benign,Benign,0.85,BS1,"Richards S, et al., Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24.",,5.5,
1196263,DRP2,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BS1;BP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.71,
1153278,NAXE,deepseek-chat,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,1.86,
1153278,NAXE,deepseek-coder,Benign,Benign,1.0,BA1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,1.89,
